Year,CHIRPS_Precipitation,Region
2022,3118.2021573781967,Kon Tum
2023,3079.778672337532,Kon Tum
2024,2981.8024653196335,Kon Tum
2000,1552.8365500867367,Phichit
2001,1156.1096668839455,Phichit
2002,1474.6673721373081,Phichit
2003,1342.5115872621536,Phichit
2004,1345.2939519882202,Phichit
2005,1390.3994708657265,Phichit
2006,1530.0958142876625,Phichit
2007,1537.2948235273361,Phichit
2008,1717.2427971363068,Phichit
2009,1451.8322964012623,Phichit
2010,1516.3415991067886,Phichit
2011,1884.5307860970497,Phichit
2012,1306.1637985408306,Phichit
2013,1509.6901905536652,Phichit
2014,1362.3630158901215,Phichit
2015,964.2187325954437,Phichit
2016,1354.9316059947014,Phichit
2017,1658.4809708297253,Phichit
2018,1177.838135729055,Phichit
2019,1103.1433949898928,Phichit
2020,1155.1575157344341,Phichit
2021,1595.0403784513474,Phichit
2022,1773.287334561348,Phichit
2023,1081.1166819930077,Phichit
2024,1301.0519893169403,Phichit
2000,389.1384734585881,West Darfur
2001,482.66726417467,West Darfur
2002,432.3786992430687,West Darfur
2003,653.843210041523,West Darfur
2004,359.0052173137665,West Darfur
2005,587.8417717670277,West Darfur
2006,520.7308482825756,West Darfur
2007,408.0739948749542,West Darfur
2008,311.2834434360266,West Darfur
2009,473.9831004142761,West Darfur
2010,542.8292878866196,West Darfur
2011,373.34707885980606,West Darfur
2012,575.7067402303219,West Darfur
2013,346.40900289360434,West Darfur
2014,487.4120904803276,West Darfur
2015,369.590491771698,West Darfur
2016,409.3662650671613,West Darfur
2017,560.1463442444801,West Darfur
2018,591.3593826889992,West Darfur
2019,559.4590682024136,West Darfur
2020,456.4554206762108,West Darfur
2021,528.2134842276573,West Darfur
